カード番号,カード名,カード種類,カードタイプ,色,レベル,コスト,パワー,効果テキスト,ライフバースト,使用タイミング
WX25-CP1-056,下江コハル(水着),シグニ,奏武：ブルアカ,白,2,-,8000,【自】：あなたのターン終了時、あなたの場に他の＜ブルアカ＞のシグニがある場合、対戦相手のレベル３か白のシグニ１体を対象とし、それをトラッシュに置く。【絆常】：このシグニのパワーは＋4000される。,ライフバースト：対戦相手のシグニ１体を対象とし、ターン終了時まで、それは「【常】：アタックできない。」を得る。カードを１枚引く。,―
WX25-CP1-059,戒野ミサキ,シグニ,奏武：ブルアカ,白,2,-,8000,【起】《白》《ダウン》手札から＜ブルアカ＞のカードを１枚捨てる：対戦相手のパワー10000以下のシグニ１体を対象とし、それを手札に戻す。【絆常】：このシグニのパワーは＋4000される。,―,―
WX25-CP1-058,朝顔ハナエ,シグニ,奏武：ブルアカ,白,2,-,8000,【自】：あなたのターン終了時、あなたのトラッシュから《ガードアイコン》を持つシグニ１枚を対象とし、あなたのエナゾーンから＜ブルアカ＞のカード２枚をトラッシュに置いてもよい。そうした場合、それを手札に加える。【絆常】：このシグニのパワーは＋4000される。,ライフバースト：対戦相手のルリグ１体を対象とし、ターン終了時まで、それは「【常】：アタックできない。」を得る。,―
WX25-CP1-055,仲正イチカ,シグニ,奏武：ブルアカ,白,2,-,5000,【自】：あなたのアタックフェイズ開始時、あなたの場に他の＜ブルアカ＞のシグニがある場合、対戦相手のレベル１のシグニ１体を対象とし、《白》を支払ってもよい。そうした場合、それを手札に戻す。【絆出】手札から＜ブルアカ＞のカードを２枚捨てる：あなたのトラッシュから《ガードアイコン》を持つシグニ１枚を対象とし、それを手札に加える。,―,―
WX25-CP1-054,伊原木ヨシミ,シグニ,奏武：ブルアカ,白,1,-,2000,【自】：あなたのターン終了時、あなたのデッキの一番上を公開する。その後、そのカードが＜ブルアカ＞の場合、対戦相手のシグニ１体を対象とし、それをトラッシュに置く。【絆出】手札から＜ブルアカ＞のカードを２枚捨てる：あなたのトラッシュから《ガードアイコン》を持つシグニ１枚を対象とし、それを手札に加える。,ライフバースト：あなたのデッキの上からカードを３枚見る。その中からシグニ１枚を公開し手札に加えるか場に出し、残りを好きな順番でデッキの一番下に置く。,―
WX25-CP1-070,霞沢ミユ,シグニ,奏武：ブルアカ,青,2,-,5000,【出】手札から＜ブルアカ＞のカードを１枚捨てる：対戦相手のシグニ１体を対象とし、このターン、あなたの効果によってそれのパワーが－（マイナス）される場合、代わりに２倍－（マイナス）される。【絆自】：あなたのアタックフェイズ開始時、アップ状態のこのシグニをダウンしてもよい。そうした場合、カードを１枚引く。,―,―
WX25-CP1-076,秋泉モミジ,シグニ,奏武：ブルアカ,緑,1,-,3000,【出】エナゾーンから＜ブルアカ＞のカード１枚をトラッシュに置く：ターン終了時まで、このシグニは【ランサー（パワー5000以下のシグニ）】を得る。（【ランサー（パワー5000以下のシグニ）】を持つシグニがバトルでパワー5000以下のシグニをバニッシュしたとき、対戦相手のライフクロスを１枚クラッシュする）【絆常】：このシグニのパワーは＋4000される。,―,―
WX25-CP1-064,合歓垣フブキ,シグニ,奏武：ブルアカ,青,1,-,3000,【起】《ダウン》：次の対戦相手のターン終了時まで、このシグニのパワーを＋4000し、このシグニは「【自】：対戦相手のターン終了時、あなたのデッキの一番上を公開する。そのカードが＜ブルアカ＞の場合、対戦相手は手札を１枚捨てる。」を得る。【絆常】：このシグニのパワーは＋4000される。,ライフバースト：対戦相手のルリグかシグニ１体を対象とする。このターン、それがアタックしたとき、対戦相手が手札を３枚捨てないかぎり、そのアタックを無効にする。,―
WX25-CP1-073,春日ツバキ(ガイド),シグニ,奏武：ブルアカ,緑,1,-,3000,【出】：あなたの他の＜ブルアカ＞のシグニ１体を対象とし、次の対戦相手のターン終了時まで、それのパワーを＋3000する。【絆常】：このシグニのパワーは＋4000される。,ライフバースト：【エナチャージ１】をする。このターン、次にあなたがルリグによってダメージを受ける場合、代わりにダメージを受けない。,―
WX25-CP1-066,白石ウタハ,シグニ,奏武：ブルアカ,青,2,-,8000,【起】手札から＜ブルアカ＞のカードを１枚捨てる：あなたの場に《雷ちゃん》がない場合、クラフトの《雷ちゃん》１つを場に出す。【起】このシグニを場からトラッシュに置く：あなたの《雷ちゃん》１体を対象とし、次の対戦相手のターン終了時まで、それのパワーを＋4000する。【絆自】：あなたのアタックフェイズ開始時、アップ状態のこのシグニをダウンしてもよい。そうした場合、カードを１枚引く。,ライフバースト：対戦相手のルリグ１体を対象とし、それをダウンする。,―
WX25-CP1-065,風倉モエ,シグニ,奏武：ブルアカ,青,1,-,2000,【自】：あなたのアタックフェイズ開始時、対戦相手のシグニ１体を対象とし、手札から＜ブルアカ＞のカードを１枚捨ててもよい。そうした場合、ターン終了時まで、それのパワーを－2000する。このターン、対戦相手のライフクロス１枚がクラッシュされたとき、ターン終了時まで、それのパワーを－2000する。【絆自】：あなたのアタックフェイズ開始時、手札を１枚捨ててもよい。そうした場合、対戦相手の手札を１枚見ないで選び、捨てさせる。,―,―
WX25-CP1-062,豊見コトリ,シグニ,奏武：ブルアカ,青,1,-,3000,【自】：あなたのターン終了時、手札を１枚捨ててもよい。そうした場合、次の対戦相手のターン終了時まで、あなたのすべての＜ブルアカ＞のシグニのパワーを＋4000する。【絆自】：あなたのアタックフェイズ開始時、アップ状態のこのシグニをダウンしてもよい。そうした場合、カードを１枚引く。,―,―
WX25-CP1-081,狐坂ワカモ(水着),シグニ,奏武：ブルアカ,緑,2,-,8000,【自】：あなたのアタックフェイズ開始時、あなたのエナゾーンから＜ブルアカ＞のカード２枚をトラッシュに置いてもよい。そうした場合、ターン終了時まで、このシグニは【ランサー（パワー10000以下のシグニ）】と「【自】：このシグニがシグニ１体とバトルしたとき、ターン終了時まで、そのシグニは能力を失う。」を得る。【絆常】：このシグニのパワーは＋4000される。,―,―
WX25-CP1-061,和泉元エイミ,シグニ,奏武：ブルアカ,青,1,-,2000,【自】：あなたのターン終了時、あなたの手札から＜ブルアカ＞のカードを３枚まで公開してもよい。次の対戦相手のターン終了時まで、このシグニのパワーをこの方法で公開したカード１枚につき＋2000する。【絆常】：このシグニのパワーは＋4000される。,ライフバースト：対戦相手のシグニ１体を対象とし、それをダウンし凍結する。カードを１枚引く。,―
WX25-CP1-067,中務キリノ,シグニ,奏武：ブルアカ,青,2,-,8000,【自】：対戦相手のアタックフェイズ開始時、手札から＜ブルアカ＞のカードを１枚捨ててもよい。そうした場合、ターン終了時まで、対戦相手のすべてのシグニは「【自】：このシグニがアタックしたとき、あなたは手札を１枚捨てる。」を得る。【絆常】：このシグニのパワーは＋4000される。,―,―
WX25-CP1-060,宇沢レイサ,シグニ,奏武：ブルアカ,白,3,-,10000,【常】《相手ターン》：対戦相手は、能力か効果で対象を選ぶ際、可能ならばこのシグニを対象とする。【自】《相手ターン》：このシグニが対戦相手の、能力か効果の対象になったとき、あなたの場に他の＜ブルアカ＞のシグニがある場合、このシグニを裏向きにし、表向きにする。ターン終了時まで、この方法で表向きになったシグニは【自】能力を失う。【絆常】《相手ターン》：このシグニのパワーは＋5000される。,ライフバースト：対戦相手のパワー10000以下のシグニ１体を対象とし、それを手札に戻す。,―
WX25-CP1-077,間宵シグレ,シグニ,奏武：ブルアカ,緑,2,-,8000,【自】：このシグニがバトルによってシグニ１体をバニッシュしたとき、あなたの場に他の＜ブルアカ＞のシグニがある場合、対戦相手のパワー3000以下のシグニ１体を対象とし、それをバニッシュする。【絆常】：このシグニのパワーは＋4000される。,ライフバースト：【エナチャージ１】をする。このターン、次にあなたがシグニによってダメージを受ける場合、代わりにダメージを受けない。,―
WX25-CP1-079,池倉マリナ,シグニ,奏武：ブルアカ,緑,2,-,5000,【自】：あなたのアタックフェイズ開始時、あなたの場に他の＜ブルアカ＞のシグニがある場合、《緑》を支払ってもよい。そうした場合、ターン終了時まで、このシグニは【ランサー（パワー8000以下のシグニ）】と「【常】：このシグニはパワーが1000以下であるかぎり、バニッシュされない。」を得る。【絆自】《ターン１回》：このシグニが対戦相手のライフクロス１枚をクラッシュしたとき、【エナチャージ１】をする。,―,―
WX25-CP1-071,乙花スミレ,シグニ,奏武：ブルアカ,青,3,-,10000,【自】：このシグニがアタックしたとき、あなたの場にあるすべてのシグニが＜ブルアカ＞の場合、対戦相手の手札を１枚見ないで選び、捨てさせる。【絆常】《相手ターン》：このシグニのパワーは＋5000される。（《相手ターン》の能力は、対戦相手のターンの間にのみ有効になる）,ライフバースト：対戦相手のアップ状態のシグニ１体を対象とし、それをデッキの一番下に置く。,―
WX25-CP1-075,姫木メル,シグニ,奏武：ブルアカ,緑,1,-,2000,【自】：あなたのアタックフェイズ開始時、あなたの場に他の＜ブルアカ＞のシグニがある場合、対戦相手のシグニ１体を対象とし、ターン終了時まで、それは「【自】《ターン１回》：このシグニがシグニ１体とバトルしたか、あなたのライフクロス１枚がクラッシュされたとき、ターン終了時まで、このシグニのパワーを－2000する。」を得る。【絆自】《ターン１回》：このシグニが対戦相手のライフクロス１枚をクラッシュしたとき、【エナチャージ１】をする。,―,―
WX25-CP1-083,鰐渕アカリ(正月),シグニ,奏武：ブルアカ,黒,1,-,2000,【起】手札から＜ブルアカ＞のカードを１枚捨てる：このシグニの下に《給食推進車両》がない場合、クラフトの《給食推進車両》１つをこのシグニの下に置く。【絆常】：このシグニのパワーは＋4000される。,ライフバースト：対戦相手のシグニ１体を対象とし、《無》を支払ってもよい。そうした場合、ターン終了時まで、それのパワーを－12000する。,―
WX25-CP1-086,下倉メグ,シグニ,奏武：ブルアカ,黒,1,-,3000,【自】：あなたのアタックフェイズ開始時、あなたの場に他の＜ブルアカ＞のシグニがある場合、対戦相手のデッキの上からカードを２枚トラッシュに置く。【絆自】：あなたのアタックフェイズ開始時、対戦相手のデッキの上からカードを２枚トラッシュに置く。,ライフバースト：あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WX25-CP1-069,小塗マキ,シグニ,奏武：ブルアカ,青,2,-,8000,【自】：あなたのアタックフェイズ開始時、手札を１枚捨ててもよい。そうした場合、このターン、あなたの青の＜ブルアカ＞のシグニが対戦相手のライフクロス１枚をクラッシュしたとき、対戦相手は手札を１枚捨てる。【絆常】：このシグニのパワーは＋4000される。,―,―
WX25-CP1-063,小鈎ハレ,シグニ,奏武：ブルアカ,青,1,-,2000,【自】：このシグニがアタックしたとき、あなたの場に他の＜ブルアカ＞のシグニがある場合、対戦相手は手札を１枚捨てる。【絆自】：あなたのアタックフェイズ開始時、手札を１枚捨ててもよい。そうした場合、対戦相手の手札を１枚見ないで選び、捨てさせる。,―,―
WX25-CP1-072,河和シズコ(水着),シグニ,奏武：ブルアカ,緑,1,-,3000,【自】：あなたのターン終了時、次の対戦相手のターン終了時まで、あなたのすべての＜ブルアカ＞のシグニのパワーを＋2000する。【絆常】：【シャドウ（パワー8000以下のシグニ）】,ライフバースト：【エナチャージ１】をする。その後、あなたのエナゾーンから＜ブルアカ＞のシグニを１枚まで対象とし、それを手札に加えるか場に出す。,―
WX25-CP1-078,天見ノドカ,シグニ,奏武：ブルアカ,緑,2,-,8000,【自】：あなたのアタックフェイズ開始時、あなたの他の緑の＜ブルアカ＞のシグニ１体を対象とし、ターン終了時まで、それのパワーを＋3000し、それは【シャドウ（レベル３以上のシグニ）】を得る。【絆常】：【シャドウ（パワー8000以下のシグニ）】,ライフバースト：【エナチャージ２】をする。その後、あなたのエナゾーンからシグニを１枚まで対象とし、それを手札に加える。,―
WX25-CP1-082,里浜ウミカ,シグニ,奏武：ブルアカ,緑,3,-,10000,【自】：あなたのアタックフェイズ開始時、パワーがこのシグニのパワーの半分以下の対戦相手のシグニ１体を対象とし、あなたの他のアップ状態の＜ブルアカ＞のシグニ１体をダウンしてもよい。そうした場合、それをバニッシュする。【起】《無》：ターン終了時まで、このシグニのパワーを＋5000する。【絆常】：アタックフェイズの間、このシグニのパワーは＋5000される。,ライフバースト：カードを１枚引き【エナチャージ２】をする。,―
WX25-CP1-068,空井サキ,シグニ,奏武：ブルアカ,青,2,-,5000,【出】《青》手札から＜ブルアカ＞のカードを１枚捨てる：対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－8000する。（パワーが０以下のシグニはルールによってバニッシュされる）【絆自】：あなたのアタックフェイズ開始時、手札を１枚捨ててもよい。そうした場合、対戦相手の手札を１枚見ないで選び、捨てさせる。,ライフバースト：カードを３枚引き、手札を１枚捨てる。,―
WX25-CP1-074,佐城トモエ,シグニ,奏武：ブルアカ,緑,1,-,3000,【出】：あなたの他の＜ブルアカ＞のシグニを１体まで対象とし、ターン終了時まで、それのパワーを＋3000し、それは「【常】：このシグニは対戦相手にダメージを与えない。」と「【自】：このシグニがアタックしたとき、【エナチャージ１】をする。」を得る。【絆常】：【シャドウ（パワー8000以下のシグニ）】（このシグニは対戦相手のパワー8000以下のシグニによって対象にされない）,―,―
WX25-CP1-080,安守ミノリ,シグニ,奏武：ブルアカ,緑,2,-,5000,【自】：あなたのアタックフェイズ開始時、あなたのエナゾーンから＜ブルアカ＞のカードを４枚までトラッシュに置いてもよい。その後、パワーが「この方法でトラッシュに置いたカードの枚数×4000」以下の対戦相手のシグニ１体を対象とし、それをバニッシュする。【絆自】《ターン１回》：このシグニが対戦相手のライフクロス１枚をクラッシュしたとき、【エナチャージ１】をする。,―,―
WX25-CP1-085,薬子サヤ,シグニ,奏武：ブルアカ,黒,1,-,2000,【自】：あなたのアタックフェイズ開始時、対戦相手のシグニ１体を対象とし、このターン、あなたの黒の＜ブルアカ＞のシグニ１体がアタックしたとき、ターン終了時まで、それのパワーを－1000する。（パワーが０以下のシグニはルールによってバニッシュされる）【絆自】：あなたのアタックフェイズ開始時、対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－2000する。,―,―
WX25-CP1-090,鬼方カヨコ(ドレス),シグニ,奏武：ブルアカ,黒,2,-,5000,【出】《黒》：あなたの場に他の＜ブルアカ＞のシグニがある場合、ターン終了時まで、このシグニは【アサシン（パワー5000以下のシグニ）】を得る。（【アサシン（パワー5000以下のシグニ）】を持つシグニがアタックすると、正面のシグニがパワー5000以下の場合、バトルをせず対戦相手にダメージを与える）【絆自】：あなたのアタックフェイズ開始時、対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－2000する。,―,―
WX25-CP1-087,朱城ルミ,シグニ,奏武：ブルアカ,黒,1,-,3000,【自】：あなたのターン終了時、あなたの他の＜ブルアカ＞のシグニを２体まで対象とし、それらのシグニ１体につきあなたのデッキの上からカードを１枚トラッシュに置いてもよい。そうした場合、次の対戦相手のターン終了時まで、それらのパワーを＋3000する。【絆常】：このシグニのパワーは＋4000される。,―,―
WX25-CP1-088,天雨アコ(ドレス),シグニ,奏武：ブルアカ,黒,2,-,8000,【自】：あなたのアタックフェイズ開始時、あなたの他の＜ブルアカ＞のシグニ１体を対象とし、ターン終了時まで、それは「【自】：このシグニがアタックしたとき、対戦相手のデッキの上からカードを３枚トラッシュに置く。」を得る。それがレベル３の黒のシグニの場合、それをアップする。【絆常】：このシグニのパワーは＋4000される。,ライフバースト：対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－8000する。,―
WX25-CP1-091,春原ココナ,シグニ,奏武：ブルアカ,黒,2,-,5000,【自】：あなたの＜ブルアカ＞のシグニ１体がアタックしたとき、次の対戦相手のターン終了時まで、そのシグニのパワーを＋2000する。あなたのトラッシュからカードを１枚まで対象とし、それをこのシグニの下に置く。【自】：あなたのターン終了時、このシグニの下から＜ブルアカ＞のカードを３枚トラッシュに置いてもよい。そうした場合、【エナチャージ１】をする。【絆自】：あなたのアタックフェイズ開始時、対戦相手のデッキの上からカードを２枚トラッシュに置く。,―,―
WX25-CP1-084,鬼怒川カスミ,シグニ,奏武：ブルアカ,黒,1,-,2000,【出】手札から＜ブルアカ＞のカードを１枚捨てる：対戦相手のレベル２以下のシグニ１体を対象とし、ターン終了時まで、それは能力を失い、それのパワーを－3000する。【絆自】：あなたのアタックフェイズ開始時、対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－2000する。,―,―
WX25-CP1-089,丹花イブキ,シグニ,奏武：ブルアカ,黒,2,-,8000,【出】手札から＜ブルアカ＞のカードを２枚捨てる：あなたの他の＜ブルアカ＞のシグニ１体を対象とし、このターン、それの効果によって対戦相手のシグニのパワーが－（マイナス）される場合、代わりに２倍－（マイナス）される。【絆常】：このシグニのパワーは＋4000される。,ライフバースト：あなたのトラッシュから＜ブルアカ＞のシグニ１枚を対象とし、それを手札に加えるか場に出す。,―
WX25-CP1-094,物語の起動,スペル,-,無,-,《無》×１,-,以下の２つから１つを選ぶ。?好きな生徒１人との絆を獲得する。（カード名１つを宣言し、その【絆】能力が有効）?あなたのデッキの上からカードを５枚見る。その中から＜ブルアカ＞のシグニを１枚まで公開し手札に加え、残りを好きな順番でデッキの一番下に置く。【常】：このカードはすべての領域で＜ブルアカ＞として扱う。,ライフバースト：どちらか１つを選ぶ。?好きな生徒１人との絆を獲得する。?あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WX25-CP1-092,黒舘ハルナ(正月),シグニ,奏武：ブルアカ,黒,2,-,5000,【自】：あなたのアタックフェイズ開始時、対戦相手のシグニを３体まで対象とし、それらのシグニ１体につきあなたのエナゾーンから＜ブルアカ＞のカード１枚をトラッシュに置いてもよい。そうした場合、ターン終了時まで、それらのパワーを－3000する。【絆自】：あなたのアタックフェイズ開始時、対戦相手のデッキの上からカードを２枚トラッシュに置く。,―,―
WX25-CP1-095,サーバント　#,シグニ,奏元,無,1,-,1000,【ガード】（このカードを手札から捨てることで、ルリグのアタックによるダメージを一度防ぐ）【常】：【マルチエナ】（エナコストを支払う際、このカードは好きな色１つとして支払える）,ライフバースト：あなたのトラッシュからシグニ１枚を対象とし、それを手札に加える。,―
WX24-P4-010,クリムゾン・リボーン,アーツ,-,黒赤,-,《黒》×１《赤》×１,-,あなたのトラッシュからシグニを２枚まで対象とし、それらを場に出す。その後、あなたのシグニ１体を対象とし、ターン終了時まで、それは【アサシン】か【ダブルクラッシュ】を得る。（【アサシン】を持つシグニがアタックすると正面のシグニとバトルをせず対戦相手にダメージを与える。【ダブルクラッシュ】を持つシグニがアタックによってダメージを与えた場合ライフクロスを１枚ではなく２枚クラッシュする）,―,メインフェイズ
WX24-P4-012,進日の使途　小湊るう子,ルリグ,るう子,白,4,-,-,【常】：このルリグはあなたのルリグトラッシュにあるレベル３の＜るう子＞と同じカード名としても扱い、そのルリグの【自】能力を得る。【出】エクシード４：あなたのデッキの上からカードを１０枚見る。その中からカードを２枚まで手札に加え、残りをデッキに加えてシャッフルする。【起】《ゲーム１回》夢限の理《白×0》：《リコレクトアイコン》［４枚以上］対戦相手のシグニ１体を対象とし、それをトラッシュに置く。このターンの、次のあなたのアタックフェイズ開始時、あなたのすべてのシグニをアップする。,―,―
WX24-P4-006,バタフライ・エフェクト,アーツ,-,青緑,-,《青》×１ 《緑》×１,-,対戦相手のルリグ１体を対象とし、それをダウンする。このターン、次にあなたがそれより低いレベルを持つ対戦相手のシグニによってダメージを受ける場合、代わりにダメージを受けない。,―,アタックフェイズ
WX24-P4-013,占星術の巫女　リメンバ・ナイト,ルリグ,リメンバ,白,4,-,-,【常】：このルリグはあなたのルリグトラッシュにあるレベル３の＜リメンバ＞と同じカード名としても扱い、そのルリグの【自】能力を得る。【出】エクシード４：【ルリグバリア】１つを得る。【起】《ゲーム１回》アストロジ《白×0》：《リコレクトアイコン》［４枚以上］あなたのデッキの一番上を公開する。このターン、この方法で公開されたシグニと同じレベルの、対戦相手のすべての領域にあるシグニは能力を失う。その後、そのシグニと同じレベルの対戦相手のシグニ１体を対象とし、それを手札に戻す。カードを１枚引く。,―,―
WX24-P4-004,自己顕火,アーツ,-,赤青,-,《赤》×１ 《青》×１,-,カードを３枚引く。その後、対戦相手のシグニ１体を対象とし、それのレベル１につき手札を１枚捨ててもよい。そうした場合、それをバニッシュする。,―,アタックフェイズ
WX24-P4-011,過日の巫女　タマヨリヒメ,ルリグ,タマ,白,4,-,-,【常】：このルリグはあなたのルリグトラッシュにあるレベル３の＜タマ＞と同じカード名としても扱い、そのルリグの【自】能力を得る。【出】エクシード４：このターン、次にこのルリグがアタックしたとき、このルリグをアップする。【起】《ゲーム１回》ホープ《白》《無》：《リコレクトアイコン》［４枚以上］このターン、あなたのシグニがバトルによってシグニ１体をバニッシュしたとき、対戦相手が《無》《無》を支払わないかぎり、対戦相手にダメージを与える。,―,―
WX24-P4-002,クリスタル・ダスト,アーツ,-,白青,-,《白》×１ 《青》×１,-,以下の３つを行う。[1]対戦相手のすべてのルリグとシグニをダウンし凍結する。[2]次の対戦相手のターン終了時まで、対戦相手のすべてのシグニは能力を失う。（このアーツの使用後に場に出たシグニはこの効果の影響を受けない）[3]このターンと次のターンの間、能力を持たない対戦相手のシグニが場を離れる場合、代わりにトラッシュに置かれる。（このアーツの使用後に場に出たシグニにもこの効果の影響を与える）,―,メインフェイズ
WX24-P4-001,フレンドシップ・フレイム,アーツ,-,白赤,-,《白》×１ 《赤》×１,-,対戦相手のルリグ１体を対象とし、ターン終了時まで、それは「【常】：《無》《無》《無》《無》を支払わないかぎりアタックできない。」を得る。対戦相手のシグニ１体を対象とし、ターン終了時まで、それは「【自】：このシグニがアタックしたとき、《無》《無》《無》《無》を支払わないかぎり、このシグニをバニッシュする。」を得る。,―,アタックフェイズ
WX24-P4-008,緑衣之心,アーツ,-,緑白,-,《緑》×１《白》×１,-,あなたのデッキの上からカードを３枚見る。その中からシグニを好きな枚数場に出し、カードを好きな枚数手札に加え、残りをエナゾーンに置く。その後、あなたのシグニ１体を対象とし、ターン終了時まで、それは【シュート】を得る。あなたのシグニ１体を対象とし、ターン終了時まで、それは【ランサー】を得る。,―,メインフェイズ
WX25-CP1-093,近衛ミナ,シグニ,奏武：ブルアカ,黒,3,-,12000,【出】エナゾーンから＜ブルアカ＞のカード１枚をトラッシュに置く：対戦相手のシグニ１体を対象とし、次の対戦相手のターン終了時まで、それは能力を失い、それのパワーを－5000する。【絆自】：このシグニがアタックしたとき、表記されているパワーよりパワーの低い対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－3000する。（表記されているパワーとは、元々それに印刷されている値である）,ライフバースト：対戦相手のレベル２以下のシグニ１体を対象とし、それをバニッシュする。,―
WX24-P4-009,落葉帰根,アーツ,-,緑黒,-,《緑》×１ 《黒》×１,-,あなたのトラッシュにあるすべてのカードをデッキに加えてシャッフルする。このターン、あなたのライフクロスが対戦相手のシグニによってクラッシュされる場合、代わりにあなたのデッキの上からカードを１０枚トラッシュに置いてもよい。（デッキが９枚以下の場合は置き換えられない）,―,アタックフェイズ
WX24-P4-003,エモーショナル・コンフリクト,アーツ,-,白黒,-,《白》×１ 《黒》×１,-,対戦相手のシグニ１体を対象とし、それを手札に戻す。あなたのトラッシュからそれと同じパワーのシグニ１枚を対象とし、それを手札に加える。,―,アタックフェイズ
WX24-P4-015,熾炎舞　遊月・肆,ルリグ,ユヅキ,赤,4,-,-,【常】：このルリグはあなたのルリグトラッシュにあるレベル３の＜ユヅキ＞と同じカード名としても扱い、そのルリグの【自】能力を得る。【出】エクシード４：あなたのライフクロス１枚をクラッシュしてもよい。その後、対戦相手のシグニをこの方法でクラッシュしたライフクロスの枚数に１を加えた数対象とし、それらをバニッシュする。【起】《ゲーム１回》真直ぐな心《赤×0》：《リコレクトアイコン》［４枚以上］対戦相手のセンタールリグがレベル３以上の場合、対戦相手は自分のエナゾーンからカード５枚を選びトラッシュに置く。（４枚以下の場合、それらをすべて選ぶ）,―,―
WX24-P4-005,竜花相搏,アーツ,-,赤緑,-,《赤》×１ 《緑》×１,-,あなたのデッキをシャッフルし一番上のカードをライフクロスに加える。あなたのライフクロス１枚をクラッシュしてもよい。そうした場合、対戦相手のライフクロス１枚をクラッシュする。,―,メインフェイズ
WX24-P4-007,ブッパ・フラストレーション,アーツ,-,青黒,-,《青》×１ 《黒》×１,-,以下の３つを行う。[1]対戦相手は自分のシグニ１体を場からトラッシュに置かないかぎり、手札を３枚捨てる。[2]対戦相手は手札を３枚捨てないかぎり、自分のシグニ１体を選びトラッシュに置く。[3]次の対戦相手のメインフェイズとアタックフェイズの間、対戦相手のトラッシュにあるカードは対戦相手の効果によって他の領域に移動しない。,―,メインフェイズ
WX24-P4-016,ちより　最終章,ルリグ,ちより,赤,4,-,-,【常】：このルリグはあなたのルリグトラッシュにあるレベル３の＜ちより＞と同じカード名としても扱い、そのルリグの【自】能力を得る。【出】エクシード４：カードを２枚引くか【エナチャージ２】をする。【起】《ゲーム１回》ファンタジー《赤》《無》：《リコレクトアイコン》［４枚以上］このターン、あなたの効果によってシグニのアタックは無効にならない。このターンのアタックフェイズの間、効果によってあなたの【マジックボックス】１つが表向きになったとき、あなたのシグニ１体を対象とし、ターン終了時まで、それは【アサシン】か【ダブルクラッシュ】を得る。,―,―
WX24-P4-018,あきら☆らぶりー,ルリグ,あきら,青,4,-,-,【常】：このルリグはあなたのルリグトラッシュにあるレベル３の＜あきら＞と同じカード名としても扱い、そのルリグの【自】能力を得る。【出】エクシード４：対戦相手のシグニ１体を対象とし、対戦相手が手札を３枚捨てないかぎり、それをバニッシュする。【起】《ゲーム１回》ぶっとばす！《青×0》：《リコレクトアイコン》［４枚以上］カードを３枚引く。このターンのアタックフェイズの間、あなたのシグニ１体が場を離れたとき、カードを１枚引くか、対戦相手は手札を１枚捨てる。,―,―
WX24-P4-022,正調の成長　アン＝フォース,ルリグ,アン,緑,4,-,-,【常】：このルリグはあなたのルリグトラッシュにあるレベル３の＜アン＞と同じカード名としても扱い、そのルリグの【自】能力を得る。【出】エクシード４：あなたのデッキの上からカードを４枚見る。その中からシグニを３枚まで場に出し、残りをエナゾーンに置く。【起】《ゲーム１回》アイディール《緑×0》：《リコレクトアイコン》［４枚以上］対戦相手のシグニゾーンかエナゾーンから、白のカードを１枚まで対象とする。赤、青、緑、黒についても同様に行う。それらを手札に戻す。,―,―
WX24-P4-020,熾型心　緑姫,ルリグ,緑子,緑,4,-,-,【常】：このルリグはあなたのルリグトラッシュにあるレベル３の＜緑子＞と同じカード名としても扱い、そのルリグの【自】能力を得る。【出】エクシード４：あなたのエナゾーンからシグニを１枚まで対象とし、それを場に出す。その後、あなたのシグニ１体を対象とし、ターン終了時まで、それは【Ｓランサー】を得る。【起】《ゲーム１回》ワナ《緑×0》：《リコレクトアイコン》［４枚以上］次の対戦相手のターン終了時まで、あなたのすべてのシグニのパワーを＋5000し、それらは【シャドウ（パワーがこのシグニのパワーの半分以下のシグニ）】を得る。,―,―
WX24-P4-014,閃華繚乱　花代・肆,ルリグ,花代,赤,4,-,-,【常】：このルリグはあなたのルリグトラッシュにあるレベル３の＜花代＞と同じカード名としても扱い、そのルリグの【自】能力を得る。【出】エクシード４：あなたの手札が４枚より少ない場合、その差の分だけカードを引く。【起】《ゲーム１回》アンビション《赤×0》：《リコレクトアイコン》［４枚以上］以下の２つから１つを選ぶ。[1]対戦相手のライフクロス１枚をクラッシュする。[2]対戦相手のライフクロスが０枚の場合、対戦相手は自分のルリグデッキからカード１枚をルリグトラッシュに置く。,―,―
WX24-P4-017,ロストコード・ピルルク　X,ルリグ,ピルルク,青,4,-,-,【常】：このルリグはあなたのルリグトラッシュにあるレベル３の＜ピルルク＞と同じカード名としても扱い、そのルリグの【自】能力を得る。【出】エクシード４：あなたのトラッシュからスペルと青のシグニをそれぞれ１枚まで対象とし、それらを手札に加える。【起】《ゲーム１回》アプリ《青×0》：《リコレクトアイコン》［４枚以上］このターン、あなたがカードを１枚引くか、対戦相手が手札を１枚捨てたとき、対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーを－4000する。,―,―
